employee_id,employee_name,age,gender,blood_group,department,designation,division,basic_salary,bonus,total_salary,phone,join_date,attendance_pct,email,nid,experience_yrs
EMP00001,Mamun Begum,32,Male,B-,Sweing,Quality Inspector,Dhaka,16837,1234,18071,01997226012,17-05-2021,92.5,mamun.begum54@gmail.com,8899391642592,8.8
EMP00002,Md. Rahim Mondal,35,Female,A-,FINISHING,Asst. Manager,Sylhet,46270,3537,49807,01820576383,2018-03-30,88.8,md..mondal81@gmail.com,7364547568321,8.7
EMP00003,Rubel Begum,36,Male,,Sewing,Helper,Narayanganj,8751,621,9372,01942857966,01/07/19,79.1,rubel.begum49@gmail.com,5028919575309,12.3
EMP00004,Selim Sheikh,,Female,O+,Packing,Senior Operator,Dhaka,14741,1101,15842,01963606628,2021-02-23,84.0,selim.sheikh18@gmail.com,9682317303976,1.4
EMP00005,Abdul Karim Hawladar,28,Male,A-,Cutting,Supervisor,Gazipur,22252,3273,25525,01982070937,"October 29, 2022",93.8,abdul.hawladar99@gmail.com,4142892825,1.7
E-0006,Nadia Khan,34,Male,AB-,STORE,Operator,Gazipur,10463,914,11377,01812614124,2018-11-27,77.8,nadia.khan47@gmail.com,5210388713215,0.9
EMP00007,Anwar Begum,22,Male,AB+,Cutting,Floor In-charge,Narayanganj,33645,4927,38572,01897225156,2021-01-09,84.3,anwar.begum67@gmail.com,3127947929743,3.7
EMP00008,Fatema Akter,32,Female,O-,Sewing,Machine Mechanic,KHULNA,17798,1016,18814,01782-374753,2019-05-03,78.3,fatema.akter74@gmail.com,9317531495235,3.6
EMP00009,Amena Mondal,24,Male,B-,EMB,Helper,Chattogram,"৳7,882",662,8544,01735529407,31-10-2022,88.4,amena.mondal18@gmail.com,4227332407137,4.2
EMP00010,KULSUM HAWLADAR,53,Male,O+,Cutting,Floor In-charge,Narayanganj,32956,4497,37222,01762401521,"May 01, 2018",81.6,kulsum.hawladar59@gmail.com,8440108492786,10.4
EMP00011,Nasrin Mondal,30,Male,A+,MTN,Floor In-charge,Dhaka,25821,2589,28410,01920752378,--,96.3,nasrin.mondal9@gmail.com,2196556564609,10.1
EMP00012,Kulsum Sheikh,55,,O+,Cutting,Machine Mechanic,Dhaka,17385,2114,19499,+8801796637649,2019-05-04,82.5,kulsum.sheikh41@gmail.com,2279624235099,0.1
EMP00013,Lovely Khatun,31,Male,AB+,Cuttng,Senior Operator,Khulna,15859,1909,17768,01923903144,06/06/21,98.5,lovely.khatun18@gmail.com,3028360436207,13.3
EMP00014,Nasrin Uddin,31,Male,AB+,FINISHING,Quality Inspector,Sylhet,16002,871,16873,01769-302158,15/11/19,88.8,nasrin.uddin55@gmail.com,1169912801200,1.7
EMP00015,Rubel Talukder,41,Male,AB-,Finishin,Trainee,Chattogram,7192,511,7703,+8801964543049,2019-05-27,99.3,rubel.talukder96@gmail.com,5165817118389,13.0
EMP00016,ROKSANA TALUKDER,39,Female,AB-,Embroidery,Operator,Dhaka,12372,894,13138,01840547349,2022-07-31,80.6,roksana.talukder85@gmail.com,8010216113207,4.9
EMP00017,Fatema Mondal,50,Female,AB-,Packing,Line Chief,gazipur,22925,1395,24320,01891363974,2020/06/08,99.6,fatema.mondal15@gmail.com,4343960983085,3.8
EMP00018,Rubel Sheikh,,Female,O+,Sewing,Trainee,NARAYANGANJ,7406,1037,8443,,2020-11-04,92.4,rubel.sheikh71@gmail.com,4372096024310,6.3
EMP00019,Belal Sarker,37,Male,O-,Finishin,Machine Mechanic,Khulana,14350 taka,1351,15701,01932775593,15/10/21,91.5,belal.sarker37@gmail.com,2642117129691,12.3
EMP00020,Sohel Ali,30,Female,O+,Packing,Helper,Narayanganj,"৳7,050",859,7909,01729806690,2020-02-26,91.4,sohel.ali1@gmail.com,2876408785161,11.7
EMP00021,Kulsum Khan,53,,O-,MAINTENANCE,Floor In-charge,Chattogram,34755.00,3867,38622,+8801773709724,2022-01-13,86.3,kulsum.khan97@gmail.com,5877526615983,11.5
EMP00022,faruk islam,22,Male,A-,QC,Quality Inspector,Rajshahi,14619,1291,15910,01864707061,2018/11/09,83.3,faruk.islam60@gmail.com,2097002397231,3.1
EMP00023,Nadia Sheikh,54,Male,AB+,Admin,Operator,Narayanganj,9048,1265,10313,01875181765,2020-09-26,75.7,nadia.sheikh44@gmail.com,8115893837366,10.9
EMP00024,Rashid Talukder,19,Female,B-,Finishin,Machine Mechanic,Khulna,17431,959,18390,01853868501,2020-02-16,83.4,rashid.talukder49@gmail.com,5438511823921,12.5
EMP00025,Amena Miah,32,Male,O-,Maintenance,Operator,Sylhet,9329,1091,10420,01944392446,2021-03-01,,amena.miah22@gmail.com,3017424982652,11.7
EMP00026,Roksana Hossain,37,Male,A+,Cutting,,Chattogram,17857,2138,19995,01881503856,2019/09/10,85.7,roksana.hossain48@gmail.com,9899468404233,9.7
EMP00027,Md. Rahim Hawladar,45,Female,AB-,Embroidery,Floor In-charge,Chattogram,35091,3386,38477,+8801721631697,19/08/22,,md..hawladar58@gmail.com,6915797713259,0.4
EMP00028,Selim Khan,34,Male,O-,Store,Helper,Sylhet,7572,686,8258,01975876924,11-02-2021,86.2,selim.khan3@gmail.com,6175835252782,3.3
EMP00029,Rubel Ali,48,Male,AB-,pack,Machine Mechanic,Sylhet,16508,1206,17714,01781922443,17/01/22,98.8,rubel.ali89@gmail.com,4368049572602,3.2
EMP00030,Amena Hossain,36,Female,B+,Admin,Trainee,Khulna,"৳6,205",480,6685,01975884623,2018/04/22,77.6,amena.hossain2@gmail.com,6001807519611,7.0
EMP00031,Rashid Akter,48,Male,O+,Finishing,Operator,Sylhet,9535,558,10093,01990010790,2019-05-24,94.8,rashid.akter29@gmail.com,8925848372313,13.6
EMP00032,Hasina Hawladar,54,Male,B+,Admin,Asst. Manager,Sylhet,37660,2786,40446,01764830300,2021-02-04,86.3,hasina.hawladar77@gmail.com,6121619275561,0.5
EMP00033,Hasina Biswas,32,Male,B+,Packing,Floor In-charge,chittagong,35610,4724,40334,01889865458,2018-05-27,93.7,hasina.biswas73@gmail.com,6080607835670,6.6
EMP00034,Rashid Biswas,50,Male,AB+,Packing,Asst. Manager,Sylhet,43204,2555,45759,01915399803,2021-10-12,94.1,rashid.biswas23@gmail.com,8780983985023,13.7
